omega	$N=6040$
3.544219940377608263e-02	5.776255617137725551e+01
3.560781715799933578e-02	5.679562683660970634e+01
3.577343491222258892e-02	5.585671980484090682e+01
3.593905266644584207e-02	5.494496320967009950e+01
3.610467042066909521e-02	5.405951802519241767e+01
3.627028817489234835e-02	5.319957673885080141e+01
3.643590592911560150e-02	5.236436208452249730e+01
3.660152368333885464e-02	5.155312583288922923e+01
3.676714143756210779e-02	5.076514763637504046e+01
3.693275919178536093e-02	4.999973392602308309e+01
3.709837694600861407e-02	4.925621685783526260e+01
3.726399470023186722e-02	4.853395330624870496e+01
3.742961245445512036e-02	4.783232390250616817e+01
3.759523020867837351e-02	4.715073211582679846e+01
3.776084796290162665e-02	4.648860337537617227e+01
3.792646571712487980e-02	4.584538423113511385e+01
3.809208347134813294e-02	4.522054155187984037e+01
3.825770122557137914e-02	4.461356175855827644e+01
3.842331897979463229e-02	4.402395009144398585e+01
3.858893673401788543e-02	4.345122990955069753e+01
3.875455448824113858e-02	4.289494202082142493e+01
3.892017224246439172e-02	4.235464404173050212e+01
3.908578999668764486e-02	4.182990978498241930e+01
3.925140775091089801e-02	4.132032867405653320e+01
3.941702550513415115e-02	4.082550518341439272e+01
3.958264325935740430e-02	4.034505830325802123e+01
3.974826101358065744e-02	3.987862102775932982e+01
3.991387876780391059e-02	3.942583986575954924e+01
4.007949652202716373e-02	3.898637437297200137e+01
4.024511427625041687e-02	3.855989670478350462e+01
4.041073203047367002e-02	3.814609118878290417e+01
4.057634978469692316e-02	3.774465391619658305e+01
4.074196753892017631e-02	3.735529235146093896e+01
4.090758529314342945e-02	3.697772495917640612e+01
4.107320304736667566e-02	3.661168084776266340e+01
4.123882080158992880e-02	3.625689942913025021e+01
4.140443855581318194e-02	3.591313009375112841e+01
4.157005631003643509e-02	3.558013190053289065e+01
4.173567406425968823e-02	3.525767328091782815e+01
4.190129181848294138e-02	3.494553175668693967e+01
4.206690957270619452e-02	3.464349367095250898e+01
4.223252732692944766e-02	3.435135393186403974e+01
4.239814508115270081e-02	3.406891576857378823e+01
4.256376283537595395e-02	3.379599049903714558e+01
4.272938058959920710e-02	3.353239730924241968e+01
4.289499834382246024e-02	3.327796304349015344e+01
4.306061609804571338e-02	3.303252200537043137e+01
4.322623385226896653e-02	3.279591576909495387e+01
4.339185160649221967e-02	3.256799300087752158e+01
4.355746936071547282e-02	3.234860929006340768e+01
4.372308711493872596e-02	3.213762698973559395e+01
4.388870486916197217e-02	3.193491506654524059e+01
